test_day,policy,cumulative_cost,total_shares_traded,final_inventory,avg_participation,max_participation,num_steps
2026-05-11,VA-AC,136505.348059012,100000.0,0.0,0.0028012943428214433,0.003784947683612018,78
2026-05-11,VWAP-like,130637.3374525424,100000.0,0.0,0.0025656882032174264,0.0027641107855602854,78
2026-05-12,DQN,-144555.87083665657,100000.0,0.0,0.002020796816998593,0.013085539869814094,78
2026-05-12,Random,-245666.12122198244,100000.0,0.0,0.005003409932068759,0.015306394079752967,40
2026-05-12,TWAP,-159799.5632168542,100000.00000000001,0.0,0.002725772642049445,0.005080827497438416,78
2026-05-12,VA-AC,-137043.78614876114,100000.0,0.0,0.0024760313393227627,0.0038106206230788127,78
2026-05-12,VWAP-like,-120414.24139754112,100000.0,0.0,0.0022504365176026914,0.0023825912002965006,78
2026-05-13,DQN,364393.1774241539,100000.0,0.0,0.0007380851226698962,0.023090830203718136,78
2026-05-13,Random,160621.8814956232,100000.0,0.0,0.006873303069120461,0.01732124874118832,40
2026-05-13,TWAP,330499.92690880504,100000.00000000001,0.0,0.0036452332411478438,0.0072686744360720085,78
2026-05-13,VA-AC,340915.4649623131,100000.0,0.0,0.0031817824666884997,0.004845782957381339,78
2026-05-13,VWAP-like,340538.11618477124,100000.0,0.0,0.0027685460924036878,0.0034493709316665367,78
2026-05-14,DQN,277568.8376027214,100000.0,0.0,0.0012661461652851386,0.027655695261027215,78
2026-05-14,Random,259244.83495148204,100000.0,0.0,0.006707703146681361,0.016968147236165042,40
2026-05-14,TWAP,275511.4562785256,100000.00000000001,0.0,0.0032602434796555205,0.006024487223452867,78
2026-05-14,VA-AC,268306.998635379,100000.0,0.0,0.0029457880911184895,0.004050040500405004,78
2026-05-14,VWAP-like,266319.3478717951,100000.0,0.0,0.0026887412037835904,0.0028706878168009054,78
2026-05-15,DQN,-35331.50462482632,100000.0,0.0,0.0019052738628996691,0.019694266211335233,78
2026-05-15,Random,53813.636276023906,100000.0,0.0,0.006063875154306902,0.024477017219296997,40
2026-05-15,TWAP,90298.87567373006,100000.00000000001,0.0,0.0035770899119366506,0.008026673252654978,78
2026-05-15,VA-AC,64801.58828712478,100000.0,0.0,0.002744514436099908,0.0043352444535966275,78
2026-05-15,VWAP-like,37118.65351355394,100000.0,0.0,0.0021491397174054315,0.0024809709527920847,78
2026-05-18,DQN,-108920.77567044189,100000.0,0.0,0.003822153902737704,0.019251798117944217,57
2026-05-18,Random,-126850.57338110033,100000.0,0.0,0.006495726340345488,0.02035011665822689,40
2026-05-18,TWAP,-169113.944942818,100000.00000000001,0.0,0.0034233724921887364,0.008414239482200648,78
2026-05-18,VA-AC,-160184.4617076135,100000.0,0.0,0.002887502040512491,0.004530744336569579,78
2026-05-18,VWAP-like,-146435.16915712963,100000.0,0.0,0.00254453297674341,0.0027857015510786235,78
2026-05-19,DQN,-122738.83000841881,100000.0,0.0,0.002071949274819564,0.02226665657244902,78
2026-05-19,Random,-85709.72263210895,100000.0,0.0,0.006151743255915688,0.02229446319598907,40
2026-05-19,TWAP,13994.93673727486,100000.00000000001,0.0,0.002907756832860899,0.006740186547624604,78
2026-05-19,VA-AC,2317.344660359836,100000.0,0.0,0.0024911771297673533,0.003629331217951709,78
2026-05-19,VWAP-like,-10278.640609447788,100000.0,0.0,0.002133984608998398,0.002295322787964639,78
2026-05-20,DQN,434166.9305739165,100000.0,0.0,0.0018292469650495408,0.028717021250595727,78
2026-05-20,Random,279630.2359029053,100000.0,0.0,0.006940369033482082,0.020443779606083273,40
2026-05-20,TWAP,361964.8617986906,100000.00000000001,0.0,0.0037627693577528118,0.008312073606608739,78
2026-05-20,VA-AC,351478.3411452452,100000.0,0.0,0.003059469872888462,0.004503652462146801,78
2026-05-20,VWAP-like,351317.48696043267,100000.0,0.0,0.002690708165831576,0.0030107423286285465,78
2026-05-21,DQN,122522.84948813883,100000.0,0.0,0.00206154898381442,0.02084445037353255,78
2026-05-21,Random,32766.38624447851,100000.0,0.0,0.007753041427038161,0.02384749526776266,40
2026-05-21,TWAP,192481.60038797618,100000.00000000001,0.0,0.003536575982327627,0.008018405324221137,78
2026-05-21,VA-AC,214707.36411784508,100000.0,0.0,0.002986369124445451,0.004317602866888304,78
2026-05-21,VWAP-like,226706.29068303484,100000.0,0.0,0.002629185819656282,0.0028375905073138893,78
2026-05-22,DQN,-138545.70065606217,100000.0,0.0,0.0017618339986279629,0.02363402819877193,78
2026-05-22,Random,-18114.968723613427,100000.0,0.0,0.010126360308791457,0.028505137553861453,40
2026-05-22,TWAP,-22810.38913568535,100000.00000000001,0.0,0.004813143219025181,0.009998231082193151,78
2026-05-22,VA-AC,-33344.173467729845,100000.0,0.0,0.00393888626228619,0.0057252272597153936,78
2026-05-22,VWAP-like,-44048.57092466152,100000.0,0.0,0.0033337141071164023,0.003581854325984562,78
2026-05-26,DQN,90866.10181457893,100000.0,0.0,0.0018550176595955486,0.018390686614146286,78
2026-05-26,Random,73699.12703888501,100000.0,0.0,0.006061553821177094,0.01504738175557453,40
2026-05-26,TWAP,43616.38580421977,100000.00000000001,0.0,0.0036730404619419567,0.006957042935658057,78
2026-05-26,VA-AC,48035.28159968597,100000.0,0.0,0.003205451593988772,0.004334049254061968,78
2026-05-26,VWAP-like,53360.76483250206,100000.0,0.0,0.002851234458345217,0.003059106303944062,78
2026-05-27,DQN,-103768.3242582401,100000.0,0.0,0.0022023245790405194,0.020248981476231744,78
2026-05-27,Random,-98896.45999106752,100000.0,0.0,0.00769903706294655,0.030980469911767623,40
2026-05-27,TWAP,-84287.27930037558,100000.00000000001,0.0,0.004249788940938005,0.008054922177059583,78
2026-05-27,VA-AC,-76783.04413564442,100000.0,0.0,0.003508520164386727,0.00501869463752478,78
2026-05-27,VWAP-like,-73770.44204200919,100000.0,0.0,0.002974937948729259,0.003172258149304596,78
