market_id,start_date,last_observed_date,n_observations,first_probability,final_probability,mean_probability,median_probability,min_probability,max_probability,probability_volatility,id,question,slug,category,endDate,closed,volume,liquidity,outcomes,outcomePrices,clobTokenIds,yes_token_id,endDate_dt,outcome,market_duration_days,probability_change,abs_probability_change,surprise,abs_surprise,realized_volatility,probability_range,trend,max_drawdown,reversals,shannon_entropy,skewness,kurtosis,autocorrelation
253390,2023-12-12 01:00:02+00:00,2024-01-15 15:00:02+00:00,830,0.5,0.775,0.8251987951807228,0.855,0.475,0.945,0.1059928770554129,253390,Arévalo inaugurated in Guatemala in January?,arvalo-inaugurated-in-guatemala-in-january,,2024-01-31T00:00:00Z,True,12561.361649,0.0,"[""Yes"", ""No""]","[""1"", ""0""]","[""77727600842154138325991643325242476148458071921366439727396378201439396087446"", ""59538047284492958991976882575556664341926800706411517311987712038703814828357""]",77727600842154138325991643325242476148458071921366439727396378201439396087446,2024-01-31 00:00:00+00:00,1,34,0.275,0.275,0.2249999999999999,0.2249999999999999,1.317775,0.47,-0.0001175602935621,0.4919786096256685,116,0.19420034754900062,-1.8693549511386094,80.70365818251827,-0.10534875568387193
253391,2023-12-11 22:00:02+00:00,2024-03-30 23:00:03+00:00,2641,0.0805,0.0005,0.0834333585762968,0.0545,0.0005,0.506,0.0896500124032622,253391,"Will Biden be impeached by March 31, 2024?",will-biden-be-impeached-by-march-31-2024,,2024-03-31T00:00:00Z,True,37027.301095,,"[""Yes"", ""No""]","[""0"", ""1""]","[""58499699066661565498614468437246548340562017448350821568465272596703204493202"", ""54111379201958606669790804205272652382065471954256341131348851792170310258386""]",58499699066661565498614468437246548340562017448350821568465272596703204493202,2024-03-31 00:00:00+00:00,0,110,-0.08,0.08,-0.0005,0.0005,0.9718905,0.5055000000000001,-8.658754465084778e-05,0.99901185770751,173,0.04224733748170502,5.649824523305181,406.24825923560627,-6.741971943990792e-05
253399,2023-12-12 20:00:03+00:00,2024-06-29 23:00:03+00:00,4802,0.19,0.0005,0.1179651187005414,0.125,0.0005,0.635,0.0959484668531876,253399,Ceasefire between Russia and Ukraine by June 30?,ceasefire-between-russia-and-ukraine-by-june,,2024-06-30T00:00:00Z,True,357703.461164,,"[""Yes"", ""No""]","[""0"", ""1""]","[""13437660449374713654760769676799199600029352285146096022294527977361536270179"", ""2695811811952786757944020316773226887292996880505102133673169325314158239053""]",13437660449374713654760769676799199600029352285146096022294527977361536270179,2024-06-30 00:00:00+00:00,0,200,-0.1895,0.1895,-0.0005,0.0005,0.96810075,0.6345000000000001,-6.116247839121605e-05,0.9992125984251968,604,0.06383161352610309,3.835584132431021,411.81834569506555,-0.1809294065889686
253401,2023-12-12 19:00:03+00:00,2023-12-30 23:00:02+00:00,437,0.5,0.065,0.4383752860411899,0.495,0.0295,0.85,0.2096809719172191,253401,US Congress approve more Ukraine aid in 2023?,us-congress-approve-more-ukraine-aid-in-2023,,2023-12-31T00:00:00Z,True,107430.868515,0.0,"[""Yes"", ""No""]","[""0"", ""1""]","[""40963398151633583311793084740566145454434023006821522760525881993042317448926"", ""95026157944758557738874072267822401940700738574689482975546906065536411093759""]",40963398151633583311793084740566145454434023006821522760525881993042317448926,2023-12-31 00:00:00+00:00,0,18,-0.435,0.435,-0.065,0.065,1.5580855,0.8205,-0.0002947892260718,0.9652941176470587,256,0.7769749628745731,1.4237155590681545,37.38877741930322,-0.009410716198460737
253402,2023-12-12 20:00:03+00:00,2024-01-10 23:00:03+00:00,699,0.5,0.455,0.4333404864091559,0.415,0.205,0.685,0.1439771002378029,253402,US inflation >0.2% from Nov to Dec 2023?,us-inflation-0pt2-from-nov-to-dec-2023,,2024-01-11T00:00:00Z,True,28545.561724,0.0,"[""Yes"", ""No""]","[""1"", ""0""]","[""52729239680134382145529699840145268299831690452697055294507799842917120910180"", ""87467427536965806666218239589970101254619895821303513749749222308390497640820""]",52729239680134382145529699840145268299831690452697055294507799842917120910180,2024-01-11 00:00:00+00:00,1,29,-0.0449999999999999,0.0449999999999999,0.5449999999999999,0.5449999999999999,1.8878750000000009,0.4800000000000001,0.0002297093034491,0.6861313868613139,192,0.4426455273900902,0.13580677287358825,20.516274830566275,-0.02250384745618585
253973,2024-01-17 22:00:02+00:00,2024-01-18 06:00:02+00:00,9,0.2,0.9995,0.5236666666666667,0.33,0.16,0.9995,0.3751810396328685,253973,Will Pakistan strike Iran by Saturday?,will-pakistan-strike-iran-by-saturday,,2024-01-20T00:00:00Z,True,18873.560953,0.0,"[""Yes"", ""No""]","[""1"", ""0""]","[""96950588438853114281046141409169924782694673101802904300774749447095925976292"", ""4101691699507166973457588341580057629184055920632197330932720652842610973826""]",96950588438853114281046141409169924782694673101802904300774749447095925976292,2024-01-20 00:00:00+00:00,1,0,0.7995000000000001,0.7995000000000001,0.0004999999999999,0.0004999999999999,0.37532325,0.8395,0.1181416666666666,0.5151515151515151,2,,0.8388135894487384,-0.9475492686667244,
254049,2024-01-23 00:00:03+00:00,2024-02-14 23:00:02+00:00,552,0.5,0.007,0.0597545289855072,0.045,0.007,0.5,0.0610955261769141,254049,Will US attack Iran by February 15?,will-us-attack-iran-by-february-15,,2024-02-15T00:00:00Z,True,237401.153348,0.0,"[""Yes"", ""No""]","[""0"", ""1""]","[""26669700241573375119976961385531980031379324449862873122753762054452038569521"", ""100297535762894808597500470485092668411632487779273845892510178798023131438727""]",26669700241573375119976961385531980031379324449862873122753762054452038569521,2024-02-15 00:00:00+00:00,0,22,-0.493,0.493,-0.007,0.007,0.410249,0.493,-0.0002005762311097,0.986,200,0.13700517862166497,1.4370943599242947,154.50223033668055,-0.28825232231173914
254557,2024-02-20 20:00:02+00:00,2024-03-30 23:00:03+00:00,940,0.5,0.0055,0.2894989361702128,0.315,0.003,0.76,0.2360588431337769,254557,Ukraine aid package by March 31?,ukraine-aid-package-by-march-31,,2024-03-31T00:00:00Z,True,55339.90377,,"[""Yes"", ""No""]","[""0"", ""1""]","[""60862042338635486604436082347256370904792043407525791185197290321483004671159"", ""112987662463568793161114828802875891188301759521009477883351805733563613193562""]",60862042338635486604436082347256370904792043407525791185197290321483004671159,2024-03-31 00:00:00+00:00,0,39,-0.4945,0.4945,-0.0055,0.0055,0.17717525,0.757,-0.0008239113328412,0.9960526315789474,250,0.2148918330823142,-3.251339136930848,95.10905280340661,-0.07184788012545076
254571,2024-02-21 18:00:02+00:00,2024-12-30 23:00:04+00:00,7516,0.245,0.0035,0.0982848589675359,0.09,0.0015,0.507,0.0631844632495556,254571,Russian nuke in space in 2024?,russian-nuke-in-space-in-2024,,2024-12-31T00:00:00Z,True,49804.8718070007,,"[""Yes"", ""No""]","[""0"", ""1""]","[""114914880685061010800990935542529154665558661430603094645097132814178448580297"", ""46605349691831287590248095862714851027249755717621028386138188711008595756776""]",114914880685061010800990935542529154665558661430603094645097132814178448580297,2024-12-31 00:00:00+00:00,0,313,-0.2415,0.2415,-0.0035,0.0035,0.8702547500000001,0.5055000000000001,-2.2489062912112627e-05,0.9970414201183432,1538,0.027136467744601676,7.292652905851582,1272.0287808099506,-0.004958812823220158
254572,2024-03-21 17:00:04+00:00,2024-09-18 22:00:02+00:00,4348,0.075,0.0005,0.1511722631094756,0.135,0.0005,0.665,0.116533953872213,254572,Will Fed cut interest rates 0 times in 2024?,will-fed-cut-interest-rates-0-times-by-dec-meeting,,2024-12-30T12:00:00Z,True,2049580.060001,,"[""Yes"", ""No""]","[""0"", ""1""]","[""89696659573954222419095252604067183414791320102947583740730535398317437004018"", ""76362906424219538638487419695671927644930476168037870259478696895326164222360""]",89696659573954222419095252604067183414791320102947583740730535398317437004018,2024-12-30 12:00:00+00:00,0,181,-0.0745,0.0745,-0.0005,0.0005,0.6769727500000001,0.6645000000000001,-6.16148359354198e-05,0.999248120300752,1244,0.11906932424614108,2.6716918096191247,500.53159335553795,-0.21576060874005934
254573,2024-03-21 17:00:04+00:00,2024-09-18 21:00:02+00:00,4347,0.15,0.0005,0.2027708764665286,0.25,0.0005,0.575,0.1159077176419445,254573,Will Fed cut interest rates 1 time in 2024?,will-fed-cut-interest-rates-1-time-by-dec-meeting,,2024-12-30T12:00:00Z,True,1407495.111446,,"[""Yes"", ""No""]","[""0"", ""1""]","[""32272860844231060811233757055954807457524340164340805418730029984354041556115"", ""1618857704234890893534871854732768737487882794117540112072599908645532035187""]",32272860844231060811233757055954807457524340164340805418730029984354041556115,2024-12-30 12:00:00+00:00,0,181,-0.1495,0.1495,-0.0005,0.0005,0.3224012499999999,0.5745,-5.778374567031211e-05,0.9991304347826088,1147,0.0839826704902736,2.617495949684913,524.4876534285656,-0.03358953738734487
