market_id,horizon,question,slug,total_n_obs,early_n_obs,early_obs_share,total_time_seconds,early_time_seconds,early_time_share,early_first_probability,early_last_probability,early_mean_probability,early_std_probability,early_probability_range,early_realized_volatility,early_trend,early_distance_to_boundary,early_mean_distance_to_boundary,early_min_distance_to_boundary,early_near_boundary,outcome,final_probability,bayesian_fair_probability,mispricing,abs_mispricing,abs_surprise,cluster,market_regime,early_max_drawdown,early_reversals,early_entropy,target
252730,0.25,Will the Fed raise interest rates by 25 bps after its December meeting?,will-the-fed-raise-interest-rates-by-25-bps-after-its-december-meeting,1205,302,0.25062240663900415,4334401.0,1083600.0,0.2499999423219033,0.19,0.075,0.14274834437086092,0.0313679732861457,0.12,0.0038648256204403264,-0.00031560481519538714,0.075,0.14274834437086092,0.07,0,0,0.0155,0.0384615384615384,0.0229615384615384,0.0229615384615384,0.0155,0,Information Processing,0.631578947368421,10,0.6474466390346325,1
252730,0.5,Will the Fed raise interest rates by 25 bps after its December meeting?,will-the-fed-raise-interest-rates-by-25-bps-after-its-december-meeting,1205,603,0.5004149377593361,4334401.0,2167201.0,0.5000001153561934,0.19,0.0175,0.10086235489220564,0.05012847407130698,0.175,0.0033387058512064608,-0.0002733777538130561,0.0175,0.10086235489220564,0.015,1,0,0.0155,0.0384615384615384,0.0229615384615384,0.0229615384615384,0.0155,0,Information Processing,0.9210526315789473,34,0.6744087274254286,1
252730,0.75,Will the Fed raise interest rates by 25 bps after its December meeting?,will-the-fed-raise-interest-rates-by-25-bps-after-its-december-meeting,1205,904,0.750207468879668,4334401.0,3250801.0,0.7500000576780967,0.19,0.031,0.07275387168141592,0.057239636214652265,0.1825,0.0028749825647324664,-0.00020364990035496666,0.031,0.07275387168141592,0.0075,1,0,0.0155,0.0384615384615384,0.0229615384615384,0.0229615384615384,0.0155,0,Information Processing,0.9605263157894737,42,0.6829081047004717,1
253299,0.25,Fed rate cut by May 1?,fed-rate-cut-by-may-1,3508,877,0.25,12628800.0,3157200.0,0.25,0.475,0.79,0.7642189281641961,0.08554779142961295,0.505,0.012786677417287768,0.00024641019520253515,0.20999999999999996,0.23545039908779933,0.11499999999999999,0,0,0.007,0.0384615384615384,0.0314615384615384,0.0314615384615384,0.007,0,Information Processing,0.41984732824427484,66,0.6893616831435102,1
253299,0.5,Fed rate cut by May 1?,fed-rate-cut-by-may-1,3508,1754,0.5,12628800.0,6314399.0,0.4999999208159128,0.475,0.255,0.7153164196123147,0.13549490823673238,0.64,0.011387036764313685,-0.00011964804035670005,0.255,0.26145667046750287,0.11499999999999999,0,0,0.007,0.0384615384615384,0.0314615384615384,0.0314615384615384,0.007,0,Information Processing,0.7231638418079096,132,0.6916588387203568,1
253299,0.75,Fed rate cut by May 1?,fed-rate-cut-by-may-1,3508,2631,0.75,12628800.0,9471600.0,0.75,0.475,0.14,0.5362257696693272,0.27842234235007446,0.795,0.009853092242498952,-0.00031433498476671933,0.14,0.23365260357278603,0.09,0,0,0.007,0.0384615384615384,0.0314615384615384,0.0314615384615384,0.007,0,Information Processing,0.8983050847457628,197,0.6930368931998935,1
253361,0.25,Will the Fed raise interest rates by 0 bps after its January meeting?,will-the-fed-raise-interest-rates-by-0-bps-after-its-january-meeting,1272,318,0.25,4579200.0,1141201.0,0.24921405485674353,0.5,0.745,0.7219811320754717,0.08632346707471573,0.31999999999999995,0.027489102943844303,0.0004110965928099145,0.255,0.27801886792452823,0.18000000000000005,0,1,0.9925,0.9,-0.0925,0.0925,0.0074999999999999,0,Information Processing,0.3780487804878048,2,0.5623351446188083,1
253361,0.5,Will the Fed raise interest rates by 0 bps after its January meeting?,will-the-fed-raise-interest-rates-by-0-bps-after-its-january-meeting,1272,636,0.5,4579200.0,2286001.0,0.4992140548567435,0.5,0.745,0.7334905660377359,0.06206994966179429,0.31999999999999995,0.019410901049664073,0.00010567661003809317,0.255,0.2665094339622641,0.18000000000000005,0,1,0.9925,0.9,-0.0925,0.0925,0.0074999999999999,0,Information Processing,0.3780487804878048,2,0.5623351446188083,1
253361,0.75,Will the Fed raise interest rates by 0 bps after its January meeting?,will-the-fed-raise-interest-rates-by-0-bps-after-its-january-meeting,1272,954,0.75,4579200.0,3434400.0,0.75,0.5,0.83,0.7337316561844863,0.06517645194972413,0.42000000000000004,0.025135885519235315,2.9205929708862233e-05,0.17000000000000004,0.2662683438155136,0.07999999999999996,0,1,0.9925,0.9,-0.0925,0.0925,0.0074999999999999,0,Information Processing,0.4565217391304348,10,0.6774944044487072,1
253363,0.25,Will the Fed raise interest rates by 25 bps after its January meeting?,will-the-fed-raise-interest-rates-by-25-bps-after-its-january-meeting,1272,318,0.25,4579200.0,1141201.0,0.24921405485674353,0.5,0.015,0.10715408805031447,0.11304014319599653,0.495,0.03176421067903771,-0.0009581148979973765,0.015,0.10696540880503144,0.015,1,0,0.002,0.0384615384615384,0.0364615384615384,0.0364615384615384,0.002,0,Information Processing,0.9705882352941176,5,0.5982695885852573,1
