market_id,question,outcome,final_probability,bayesian_fair_probability,mispricing,abs_surprise,realized_volatility,probability_range,trend,max_drawdown,reversals,shannon_entropy,skewness,kurtosis,autocorrelation,cluster,market_regime,abs_mispricing
253401,US Congress approve more Ukraine aid in 2023?,0,0.065,0.0384615384615384,-0.0265384615384615,0.065,1.5580855,0.8205,-0.0002947892260718,0.9652941176470587,256,0.7769749628745731,1.4237155590681545,37.38877741930322,-0.0094107161984607,0,Information Processing,0.0265384615384615
253402,US inflation >0.2% from Nov to Dec 2023?,1,0.455,0.4,-0.0549999999999999,0.5449999999999999,1.8878750000000009,0.4800000000000001,0.0002297093034491,0.6861313868613139,192,0.4426455273900902,0.1358067728735882,20.516274830566275,-0.0225038474561858,0,Information Processing,0.0549999999999999
253973,Will Pakistan strike Iran by Saturday?,1,0.9995,0.9,-0.0995,0.0004999999999999,0.37532325,0.8395,0.1181416666666666,0.5151515151515151,2,,0.8388135894487384,-0.9475492686667244,,0,Information Processing,0.0995
254049,Will US attack Iran by February 15?,0,0.007,0.0384615384615384,0.0314615384615384,0.007,0.410249,0.493,-0.0002005762311097,0.986,200,0.1370051786216649,1.437094359924295,154.50223033668055,-0.2882523223117391,0,Information Processing,0.0314615384615384
254557,Ukraine aid package by March 31?,0,0.0055,0.0384615384615384,0.0329615384615384,0.0055,0.17717525,0.757,-0.0008239113328412,0.9960526315789474,250,0.2148918330823142,-3.251339136930848,95.1090528034066,-0.0718478801254507,0,Information Processing,0.0329615384615384
254571,Russian nuke in space in 2024?,0,0.0035,0.0384615384615384,0.0349615384615384,0.0035,0.8702547500000001,0.5055000000000001,-2.2489062912112627e-05,0.9970414201183432,1538,0.0271364677446016,7.292652905851582,1272.0287808099506,-0.0049588128232201,0,Information Processing,0.0349615384615384
254572,Will Fed cut interest rates 0 times in 2024?,0,0.0005,0.0384615384615384,0.0379615384615384,0.0005,0.6769727500000001,0.6645000000000001,-6.16148359354198e-05,0.999248120300752,1244,0.119069324246141,2.6716918096191247,500.531593355538,-0.2157606087400593,0,Information Processing,0.0379615384615384
254573,Will Fed cut interest rates 1 time in 2024?,0,0.0005,0.0384615384615384,0.0379615384615384,0.0005,0.3224012499999999,0.5745,-5.778374567031211e-05,0.9991304347826088,1147,0.0839826704902736,2.617495949684913,524.4876534285656,-0.0335895373873448,0,Information Processing,0.0379615384615384
254576,Will Fed cut interest rates 2 times in 2024?,0,0.0005,0.0384615384615384,0.0379615384615384,0.0005,0.9887137499999998,0.6195,-5.026061107098651e-05,0.9991935483870968,1652,0.0705556023884534,2.9292639596266423,372.5028164723264,-0.1519419924197348,0,Information Processing,0.0379615384615384
254577,Will Fed cut interest rates 3 times in 2024?,0,0.0005,0.0384615384615384,0.0379615384615384,0.0005,0.3370577499999999,0.4545,8.878579058475324e-06,0.9989010989010988,2134,0.2316069585238993,-5.744807798015658,183.516192706372,0.0219075696741407,0,Information Processing,0.0379615384615384
254578,Will Fed cut interest rates 4 times in 2024?,1,0.9995,0.9,-0.0995,0.0004999999999999,0.2194267499999999,0.977,0.0001292384181037,0.8783783783783784,2421,0.1746350944829555,9.047907408086449,306.6652860651378,0.0512111696158816,0,Information Processing,0.0995
254579,Will Fed cut interest rates 5 times in 2024?,0,0.0005,0.0384615384615384,0.0379615384615384,0.0005,0.1387947499999999,0.416,1.408195680377322e-05,0.9987995198079233,2191,0.0438850917382528,8.448722688025715,766.007075709908,-0.1306673200436911,0,Information Processing,0.0379615384615384
254580,Will Fed cut interest rates 6+ times in 2024?,0,0.0005,0.0384615384615384,0.0379615384615384,0.0005,0.05982425,0.299,1.0223448028273875e-06,0.998330550918197,1824,0.1309169857223298,-5.872020919487113,525.2202411056493,-0.0850933293751761,0,Information Processing,0.0379615384615384
254600,House control after 2024 election?,0,0.5,0.4,-0.0999999999999999,0.5,0.058325,0.205,4.495042360803942e-06,0.3153846153846154,392,0.1122202350285375,-13.487604383791927,602.3361761264937,-0.0144222404765041,1,Anchored / Noisy,0.0999999999999999
254631,Will Gemini generate images of people again in February?,0,0.0075,0.0384615384615384,0.0309615384615384,0.0075,0.3680482499999999,0.6875,-0.0040449699986666,0.9892086330935252,73,0.6686247793407988,2.459678084552214,24.195310188567547,-0.2486128677015683,0,Information Processing,0.0309615384615384
255333,Will X remove likes + reposts counter in March?,0,0.05,0.0384615384615384,-0.0115384615384615,0.05,0.1776249999999999,0.455,-0.0001210203436254,0.900990099009901,77,0.0952574404880067,-15.351380484785247,317.9116907436338,0.0191797909074016,0,Information Processing,0.0115384615384615
255335,Fed rate cut by September 18?,1,0.9865,0.9,-0.0865,0.0134999999999999,0.4520342499999999,0.7875000000000001,6.903691077500798e-05,0.7815401419989078,1938,0.1821300691351326,7.222849231110967,341.7811151828085,-0.0222232502113843,0,Information Processing,0.0865
255336,Fed rate cut by November 7?,1,0.9995,0.9,-0.0995,0.0004999999999999,0.4567092499999999,0.7045000000000001,5.754720698252855e-05,0.6843231674692348,1349,0.1079443088147575,-1.5528819173094948,242.4408421847725,-0.1569169351731247,0,Information Processing,0.0995
255337,Fed rate cut by December 18?,1,0.9995,0.9,-0.0995,0.0004999999999999,0.26621075,0.5785,4.465429820493566e-05,0.5568421052631578,1244,0.0816436996051978,-4.99911783944604,389.2965411502871,-0.0409386087352269,0,Information Processing,0.0995
255410,US inflation >0.4% from Feb to March 2024?,0,0.535,0.6,0.0649999999999999,0.535,0.0008749999999999,0.0399999999999999,-0.0048809523809523,0.0701754385964911,3,,0.8771202053369015,-0.2603418557885737,,1,Anchored / Noisy,0.0649999999999999
