timestamp,asset_id,best_bid,best_ask,mid_price,microprice,edge,spread,imbalance,depth
1781672507.6158423,71060712959989403325198445315306760478168572748780398734441832275934823452851,0.86,0.88,0.870,0.8696774193548387096774193548,-0.0003225806451612903225806452,0.02,0.4838709677419354838709677419,310
1781672507.6161275,73165594672158441679366769272476965122495269212969865526978895831338091230964,0.49,0.51,0.500,0.50,0.000,0.02,0.5,1224
1781672512.6269617,36545035991883633552056406090926663943913966528619028487905434429658670628185,0.49,0.51,0.500,0.50,0.000,0.02,0.5,1224
1781672512.628558,40817545512534103974474586578147351463906382379944847846974871240286288109133,0.9,0.91,0.905,0.9038451971311305501430288960,-0.0011548028688694498569711040,0.01,0.3845197131130550143028895983,964.84
1781672512.629973,58664981798358094880490685608502605662409619126863223165067333007415534856810,0.49,0.51,0.500,0.50,0.000,0.02,0.5,1224
1781672512.6319568,62050350252115091579269893163418328273956562063251787896796103523146085715033,0.8,0.81,0.805,0.8088632838466651894526922225,0.0038632838466651894526922225,0.01,0.8863283846665189452692222468,270.78
1781672512.6339526,31638145116052561163664801963142129971583841118384951399947355471025921948419,0.49,0.51,0.500,0.50,0.000,0.02,0.5,1224
1781672512.6351888,112263093100686109891972602979460856408611438450074613791714357274080770536504,0.49,0.51,0.500,0.50,0.000,0.02,0.5,1224
1781672512.636419,65388880427163602882229538567622206362552800469128312771776276810183468857557,0.12,0.15,0.135,0.1448080350424168495092952704,0.0098080350424168495092952704,0.03,0.8269345014138949836431756794,1262.47
1781672512.6379383,70741657217060501057890380039599157837744105255566491684717102481838163232906,0.12,0.14,0.130,0.1303225806451612903225806452,0.0003225806451612903225806452,0.02,0.5161290322580645161290322581,310
1781672512.6396022,56497083279396402348688836274265091765922588176196334766211192661453502202368,0.19,0.2,0.195,0.1911367161533348105473077775,-0.0038632838466651894526922225,0.01,0.1136716153334810547307777532,270.78
1781672512.6412778,99175825684743795871168453539660789860601423002164976668962584360279979363183,0.09,0.1,0.095,0.09615480286886944985697110402,0.00115480286886944985697110402,0.01,0.6154802868869449856971104017,964.84
1781672512.6427991,41488154860281041981682198721250482634923952339824268201568980420597002570080,0.85,0.88,0.865,0.8551919649575831504907047296,-0.0098080350424168495092952704,0.03,0.1730654985861050163568243206,1262.47
